x,y,z,gradx,grady
-0.450000,0.090000,0,1119.496120,-252.155172
-0.450000,0.100000,0,1000.069495,-195.650538
-0.450000,0.110000,0,903.409733,-154.094828
-0.450000,0.120000,0,824.271443,-123.101203
-0.450000,0.130000,0,758.697912,-353.872885
-0.450000,0.140000,0,703.710208,-81.641808
-0.450000,0.150000,0,668.502212,186.593473
-0.450000,0.160000,0,617.030815,-56.594789
-0.450000,0.170000,0,582.318773,-47.794118
-0.450000,0.180000,0,551.910482,-40.700961
-0.450000,0.190000,0,525.018570,-34.926471
-0.450000,0.200000,0,501.025040,-30.181846
-0.450000,0.210000,0,479.440990,-26.250000
-0.450000,0.220000,0,459.876719,-22.965892
-0.450000,0.230000,0,442.019345,-20.202703
-0.450000,0.240000,0,425.615939,-17.861999
-0.450000,0.250000,0,410.460690,-15.866661
-0.450000,0.260000,0,396.385075,-14.155734
-0.450000,0.270000,0,383.250273,-12.680636
-0.450000,0.280000,0,370.941254,-11.402348
-0.450000,0.290000,0,359.362161,-10.289301
-0.450000,0.300000,0,348.432665,-9.315780
-0.450000,0.310000,0,338.085078,-8.460699
-0.450000,0.320000,0,328.262044,-7.706665
-0.450000,0.330000,0,318.914697,-7.039249
-0.450000,0.340000,0,310.001174,-6.446414
-0.450000,0.350000,0,301.485409,-5.918068
-0.450000,0.360000,0,293.336153,-5.445707
-0.450000,0.370000,0,285.526184,-5.022135
-0.450000,0.380000,0,278.031645,-4.641232
-0.450000,0.390000,0,270.831513,-4.297776
-0.450000,0.400000,0,263.907158,-3.987288
-0.450000,0.410000,0,257.241973,-3.705918
-0.450000,0.420000,0,250.821073,-3.450341
-0.450000,0.430000,0,244.631047,-3.217674
-0.450000,0.440000,0,238.659744,-3.005413
-0.450000,0.450000,0,232.896100,-2.811375
-0.450000,0.460000,0,227.329991,-2.633651
-0.450000,0.470000,0,221.952110,-2.470563
-0.450000,0.480000,0,216.753864,-2.320641
-0.440000,-0.490000,0,1.305135,-7.450831
-0.440000,-0.480000,0,1.167053,-7.636482
-0.440000,-0.470000,0,1.018288,-7.823996
-0.440000,-0.460000,0,0.858273,-8.012988
-0.440000,-0.450000,0,0.686428,-8.203020
-0.440000,-0.440000,0,0.502168,-8.393594
-0.440000,-0.430000,0,0.304901,-8.584152
-0.440000,-0.420000,0,0.094037,-8.774067
-0.440000,-0.410000,0,-228.484009,-8.962639
-0.440000,-0.400000,0,-234.106800,-9.149095
-0.440000,-0.390000,0,-250.706959,-9.332579
-0.440000,-0.380000,0,-257.243803,-9.512152
-0.440000,-0.370000,0,-264.015332,-9.686786
-0.440000,-0.360000,0,-271.034382,-9.855362
-0.440000,-0.350000,0,-278.315367,-10.016667
-0.440000,-0.340000,0,-285.874612,-10.169394
-0.440000,-0.330000,0,-293.730766,-10.312139
-0.440000,-0.320000,0,-301.905312,-10.443405
-0.440000,-0.310000,0,-310.423212,-10.561602
-0.440000,-0.300000,0,-319.313702,-10.665050
-0.440000,-0.290000,0,-312.065611,-10.751991
-0.440000,-0.280000,0,-338.357104,-10.820591
-0.440000,-0.270000,0,-348.600355,-10.868953
-0.440000,-0.260000,0,-359.400556,-10.895134
-0.440000,-0.250000,0,-370.830093,-10.897158
-0.440000,-0.240000,0,-382.977663,-10.873035
-0.440000,-0.230000,0,-395.952744,-10.820787
-0.440000,-0.220000,0,-409.891454,-10.738475
-0.440000,-0.210000,0,-424.964338,-10.624222
-0.440000,-0.200000,0,-441.386796,-10.476250
-0.440000,-0.190000,0,-459.433227,-10.292914
-0.440000,-0.180000,0,125.186937,-10.072738
-0.440000,-0.170000,0,137.159396,-9.814450
-0.440000,-0.160000,0,150.691845,-9.517026
-0.440000,-0.150000,0,165.979885,-9.179722
-0.440000,-0.140000,0,183.203743,-8.802118
-0.440000,-0.130000,0,202.483352,-8.384146
-0.440000,-0.120000,0,-263.710784,-7.926124
