x,y,xVel,yVel
0.006539,0.060158,40.507148,-8.801016
0.006335,0.060175,40.571957,-8.532357
0.008238,0.062394,37.072424,-9.828416
0.008566,0.067936,31.490655,-7.941436
0.006336,0.067174,32.868261,-6.160606
0.006570,0.067866,32.166428,-6.189401
0.005402,0.072341,28.688040,-4.233382
0.008316,0.074324,26.654736,-5.927187
0.006638,0.074930,26.595791,-4.660302
0.006232,0.075975,25.968013,-4.206705
0.005639,0.075506,26.374574,-3.886268
0.007925,0.075302,26.089996,-5.446629
0.005413,0.080711,23.217755,-3.060883
0.008845,0.084948,20.622708,-4.236580
0.006282,0.083846,21.480827,-3.161884
0.005722,0.087821,19.702784,-2.513136
0.009004,0.087058,19.667447,-4.007621
0.007996,0.087242,19.718214,-3.552882
0.009452,0.091562,17.829903,-3.616513
0.005178,0.090788,18.521932,-2.062277
0.008736,0.091748,17.842213,-3.332841
0.008653,0.099138,15.417506,-2.624177
0.009089,0.096970,16.037834,-2.938463
0.008462,0.095727,16.490231,-2.849402
0.006899,0.104695,14.007868,-1.788098
0.006702,0.102538,14.585084,-1.849022
